"Species","Rank","Total_Score","fishing_mortality","commercial_importance","tribal_importance","recreational_importance","ecosystem","stock_status","assessment_frequency","constituent_demand","new_information","rebuilding"
"Bocaccio",1,4.92,3,7.69,4.73,8.16,1.03,3.3,6.9,1.67,7.1,0
"Petrale sole",1,4.92,5,10,10,4.35,0.73,3.3,0.8,6.67,7.1,0
"Greenspotted rockfish",3,4.77,5,5.31,1.58,6.33,0.03,6.7,8.5,1.67,7.1,0
"Canary rockfish",4,4.56,3,7.43,7.71,8.25,0.08,6.7,0.8,6.67,4.3,0
"Lingcod",5,4.52,2,8.78,8.99,10,3.31,3.3,1.5,1.67,5.7,0
"Vermilion/Sunset rockfish",6,4.49,9,7.7,0,8.78,0.14,3.3,0,6.67,7.1,0
"Sablefish",7,4.43,5,8.84,9.77,2.71,9.6,5.6,0.8,3.33,0,0
"Redbanded rockfish",8,4.33,5,5.29,7.45,0,0,10,3.1,6.67,7.1,0
"Black rockfish",9,4.22,5,7.58,4.18,9.74,0.94,3.3,0,5,5.7,0
"Greenstriped rockfish",10,4.16,1,3.42,4.53,3.72,0.09,1.1,10,5,7.1,0
"Longspine thornyhead",11,3.97,1,5.7,4.99,0,0.27,2.2,8.5,3.33,7.1,0
"Bank rockfish",12,3.81,1,5.46,2.72,4.1,0.03,10,3.1,3.33,7.1,0
"Stripetail rockfish",12,3.81,9,2.58,0,0,0.03,6.7,3.1,10,7.1,0
"Widow rockfish",14,3.73,7,7.93,4.53,2.68,0.62,1.1,0,8.33,0,0
"California scorpionfish",15,3.71,3,4.66,0,7.97,0.39,3.3,6.9,1.67,1.4,0
"Starry rockfish",16,3.68,5,4.4,0,5.85,0.03,10,3.1,1.67,5.7,0
"Shortspine thornyhead",17,3.67,2,8.6,7.73,0,2.01,4.4,0.8,3.33,7.1,0
"Quillback rockfish",18,3.65,10,3.71,4.56,4.35,0,4.4,0,10,0,0
"Blue/Deacon rockfish",19,3.64,3,5.15,1.24,7.19,0.03,4.4,5.4,0,5.7,0
"Yellowtail rockfish",20,3.6,3,6.74,7.08,6.09,2,2.2,0.8,5,1.4,0
"Longnose skate",21,3.54,3,7.22,6.86,0.16,1.41,3.3,3.1,1.67,7.1,0
"Pacific sanddab",22,3.45,1,5.74,0.93,5.29,0.11,4.4,3.1,3.33,7.1,0
"English sole",23,3.35,1,4.94,1.22,0.04,0.26,1.1,8.5,1.67,7.1,0
"Splitnose rockfish",24,3.27,2,3.93,1.41,0,0.19,2.2,8.5,0,10,0
"Silvergray rockfish",25,3.21,3,5.02,3.73,0,0.07,10,3.1,3.33,0,0
"China rockfish",26,3.18,3,5.87,1.24,3.71,0.01,3.3,5.4,0,1.4,0
"Dover sole",26,3.18,1,9.42,7.39,0.02,1.84,1.1,0.8,0,8.6,0
"Arrowtooth flounder",28,3.15,1,5.02,2.68,0,5.74,1.1,5.4,1.67,7.1,0
"Copper rockfish",29,3.03,3,5.77,1.24,4.67,0.01,2.2,0,8.33,0,0
"Aurora rockfish",30,3.01,3,3.5,1.85,0,0.01,2.2,5.4,3.33,8.6,0
"Pacific cod",30,3.01,1,4.48,9.18,3.05,0.39,4.4,3.1,1.67,2.9,0
"Rosethorn rockfish",32,2.99,3,2.36,3.45,0,0.01,10,3.1,3.33,7.1,0
"Shortraker rockfish",33,2.97,3,3.09,7.17,0,0,10,3.1,3.33,0,0
"Darkblotched rockfish",34,2.94,3,6.31,5.04,0,0.06,4.4,2.3,0,7.1,0
"Big skate",35,2.8,2,5.88,5.8,0.03,0.92,2.2,3.1,1.67,2.9,0
"Pacific ocean perch",36,2.79,1,6.7,4.65,0,0.13,2.2,2.3,1.67,5.7,0
"Sharpchin rockfish",37,2.78,2,3.08,0.35,0,0.02,2.2,6.9,1.67,7.1,0
"Blackgill rockfish",38,2.68,2,6.39,2.59,0,0.01,4.4,2.3,0,5.7,0
"Chilipepper",38,2.68,3,6.91,0,5.68,1.21,1.1,0.8,1.67,0,0
"Squarespot rockfish",40,2.62,5,1.87,0,4.66,0,4.4,0,8.33,2.9,0
"Yellowmouth rockfish",41,2.55,2,3.93,2.17,0,0.01,6.7,3.1,3.33,0,0
"Redstripe rockfish",42,2.44,2,3.27,1.62,0,0.08,10,3.1,0,2.9,0
"Rex sole",43,2.34,2,6.6,6.93,0,0.05,1.1,0,0,7.1,0
"Pacific spiny dogfish",44,2.28,2,2.8,0,2.25,10,2.2,0,3.33,5.7,0
"Flathead sole",45,2.23,3,2.56,0,0,0,4.4,3.1,1.67,7.1,0
"Kelp greenling",46,1.96,1,0,1.63,1.93,0.05,1.1,8.5,0,0,0
"Rougheye/Blackspotted rockfish",47,1.9,3,3.26,6.96,0,0.01,3.3,0,3.33,0,0
"Cowcod",48,1.49,1,2.12,0,4.09,0.03,3.3,0,1.67,2.9,0
"Yelloweye rockfish",49,1.4,3,0.05,6.5,3.14,0.12,4.4,0,1.67,0,0
"Cabezon",50,1.2,1,0,1.24,3.75,0.04,3.3,1.5,1.67,0,0
